Algorithm,Time (seconds),Comparisons
MergeSort,0.015927,1536131
Hybrid,0.009247,1864140
MergeSort,0.028813,3272865
Hybrid,0.018737,3921444
MergeSort,0.043962,5084689
Hybrid,0.029098,5712324
MergeSort,0.059451,6945583
Hybrid,0.040294,8249175
MergeSort,0.071086,8837277
Hybrid,0.048957,11097371
MergeSort,0.105645,12723886
Hybrid,0.077081,14582086
MergeSort,0.126974,14690547
Hybrid,0.083983,17291222
MergeSort,0.142020,16678235
Hybrid,0.092688,20170052
MergeSort,0.148544,18674553
Hybrid,0.103887,23187737
MergeSort,0.309774,39347819
Hybrid,0.225372,48378897
MergeSort,0.483914,60820560
Hybrid,0.334531,69674301
MergeSort,0.635004,82696846
Hybrid,0.457776,100749153
MergeSort,0.836512,105049554
Hybrid,0.586276,116154116
MergeSort,1.182002,150446142
Hybrid,0.827679,176473911
MergeSort,1.335825,173395695
Hybrid,1.011651,209517749
MergeSort,1.512566,196644122
Hybrid,1.097131,213569664
MergeSort,1.776263,220103114
Hybrid,1.225776,242329183
