Number_Of_Edges,Comparisons,CPU Time (ms)
1000,20019,8.357
2000,20019,8.022
3000,20019,7.094
4000,20047,7.544
5000,20047,7.481
6000,20076,7.792
7000,128136,8.633
8000,20008,7.604
9000,180663,8.199
10000,197881,9.110
11000,209996,11.206
12000,217923,8.379
13000,224685,9.202
14000,230200,9.100
15000,233978,9.206
16000,237034,9.583
17000,239504,10.052
18000,241275,11.170
19000,243139,9.542
20000,244599,10.151
21000,245605,9.735
22000,246914,10.389
23000,247826,10.338
24000,248306,9.473
25000,249076,10.382
26000,250394,10.583
27000,250778,10.083
28000,251425,10.578
29000,252064,13.591
30000,252561,9.808
31000,252933,10.679
32000,253114,10.108
33000,253505,10.278
34000,253812,10.718
35000,254332,10.249
36000,254725,10.598
37000,255098,10.619
38000,255133,9.939
39000,255714,11.286
40000,256063,10.637
41000,256286,10.753
42000,257087,10.912
43000,257192,10.716
44000,257652,11.179
45000,257896,11.570
46000,258397,10.179
47000,258728,11.071
48000,258651,13.967
49000,259156,11.247
50000,259536,10.990
51000,259911,10.859
52000,260234,11.059
53000,260651,11.666
54000,260675,11.504
55000,260856,14.512
56000,260955,11.678
57000,261428,11.995
58000,261909,11.114
59000,262187,13.052
60000,262493,11.566
61000,262555,11.264
62000,262955,11.609
63000,263113,11.370
64000,263465,11.672
65000,264023,11.958
66000,264235,12.165
67000,264385,11.518
68000,264056,12.077
69000,264397,11.632
70000,264528,12.168
71000,264843,14.031
72000,265156,15.181
73000,265205,12.389
74000,265790,13.084
75000,265648,12.499
76000,265899,12.636
77000,265994,11.673
78000,266284,12.210
79000,265955,11.763
80000,266310,12.404
81000,266430,12.037
82000,266537,12.599
83000,266980,11.633
84000,267193,12.035
85000,267156,12.169
86000,267339,13.101
87000,268165,13.338
88000,268384,13.981
89000,267883,13.048
90000,268029,12.545
91000,268180,13.055
92000,268463,13.741
93000,268581,12.723
94000,268749,18.945
95000,268852,12.903
96000,269042,13.043
97000,269268,14.100
98000,269221,13.976
99000,269051,13.874
100000,269560,12.234
