Number_Of_Edges,Comparisons,CPU Time (ms)
1000,19995,7.976
2000,19995,7.190
3000,19995,6.296
4000,20007,6.493
5000,20007,6.925
6000,20007,7.297
7000,20007,6.475
8000,20020,6.535
9000,20020,6.568
10000,20020,6.842
11000,20020,6.463
12000,20020,7.461
13000,20020,6.690
14000,20020,6.783
15000,20020,8.109
16000,237109,9.754
17000,239552,9.457
18000,241565,9.359
19000,243089,9.262
20000,244561,9.984
21000,245614,9.570
22000,246620,9.409
23000,247479,12.208
24000,248366,9.874
25000,249103,10.295
26000,249743,10.716
27000,250209,9.425
28000,250945,9.509
29000,251358,10.188
30000,252485,10.641
31000,252998,10.226
32000,253174,10.485
33000,253437,10.539
34000,254053,9.749
35000,254594,11.085
36000,254599,9.586
37000,255030,10.408
38000,255506,11.328
39000,255765,11.128
40000,256336,10.540
41000,257088,10.930
42000,257404,10.771
43000,257878,10.022
44000,258341,10.779
45000,258052,11.427
46000,258476,10.808
47000,258983,10.873
48000,258912,11.065
49000,259329,11.757
50000,259451,11.272
51000,259942,10.784
52000,260172,13.741
53000,260252,11.288
54000,260730,11.190
55000,261098,16.831
56000,261390,13.238
57000,261763,10.523
58000,262060,11.637
59000,262213,10.874
60000,262351,10.828
61000,262743,11.628
62000,262799,11.292
63000,263536,11.613
64000,263593,11.961
65000,263768,11.201
66000,263652,11.964
67000,263895,11.144
68000,263896,11.659
69000,264671,12.077
70000,264796,11.713
71000,264992,16.348
72000,264946,11.713
73000,265282,12.115
74000,265381,11.706
75000,265242,12.713
76000,265390,12.740
77000,265567,12.515
78000,265870,13.057
79000,265950,12.432
80000,266896,12.103
81000,267152,12.002
82000,267107,15.278
83000,267303,12.540
84000,267416,12.844
85000,267208,16.450
86000,267492,15.888
87000,267410,12.760
88000,267749,13.269
89000,267813,13.571
90000,268174,13.107
91000,268036,12.700
92000,268307,12.574
93000,268791,14.290
94000,268839,12.851
95000,268781,12.793
96000,268738,13.136
97000,269049,13.213
98000,269465,13.896
99000,269518,14.453
100000,269707,13.021
