Number_Of_Edges,Comparisons,CPU Time (ms)
1000,50004999,540.000
2000,50004999,522.000
3000,50004999,521.000
4000,50004999,564.000
5000,50005008,601.000
6000,50005001,586.000
7000,50010378,802.000
8000,50011634,777.000
9000,50012641,782.000
10000,50013428,830.000
11000,50014137,785.000
12000,50014726,793.000
13000,50015202,819.000
14000,50015643,754.000
15000,50016062,764.000
16000,50016542,919.000
17000,50016883,792.000
18000,50017255,789.000
19000,50017518,778.000
20000,50017859,779.000
21000,50018123,799.000
22000,50018553,751.000
23000,50018749,758.000
24000,50019070,753.000
25000,50019307,763.000
26000,50019516,809.000
27000,50019928,753.000
28000,50020061,788.000
29000,50020416,763.000
30000,50020703,752.000
31000,50020765,767.000
32000,50021075,769.000
33000,50021286,763.000
34000,50021442,776.000
35000,50021728,802.000
36000,50021971,796.000
37000,50022320,783.000
38000,50022399,782.000
39000,50022618,809.000
40000,50022829,830.000
41000,50022977,824.000
42000,50023101,779.000
43000,50023347,785.000
44000,50023615,797.000
45000,50023558,797.000
46000,50023881,923.000
47000,50024054,826.000
48000,50024216,788.000
49000,50024463,831.000
50000,50024597,843.000
51000,50024692,818.000
52000,50024890,838.000
53000,50024944,836.000
54000,50025373,809.000
55000,50025303,829.000
56000,50025498,784.000
57000,50025807,791.000
58000,50025876,780.000
59000,50025840,971.000
60000,50026109,917.000
61000,50026073,920.000
62000,50026380,904.000
63000,50026603,918.000
64000,50026552,950.000
65000,50026729,906.000
66000,50027013,926.000
67000,50027103,903.000
68000,50027295,924.000
69000,50027261,861.000
70000,50027284,889.000
71000,50027489,942.000
72000,50027628,871.000
73000,50027764,881.000
74000,50027812,877.000
75000,50027888,913.000
76000,50028070,897.000
77000,50028104,945.000
78000,50028293,868.000
79000,50028454,921.000
80000,50028610,843.000
81000,50028586,804.000
82000,50028915,802.000
83000,50028789,795.000
84000,50028956,822.000
85000,50028992,794.000
86000,50028938,810.000
87000,50029289,813.000
88000,50029226,877.000
89000,50029380,805.000
90000,50029449,800.000
91000,50029614,823.000
92000,50029683,799.000
93000,50029828,824.000
94000,50029899,801.000
95000,50029933,800.000
96000,50030127,812.000
97000,50030221,809.000
98000,50030128,828.000
99000,50030304,840.000
100000,50030378,819.000
